                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4381,                 1.7259,                 1.7697,                0.34263,                0.21239,                0.14724,                0.06273,                 2.0647,                 2.9904,                 2.3809,              0.0099495,              0.0099495,              0.0099495
                     54,                 1.4087,                 1.6751,                 1.7615,                0.30879,                0.23451,                0.16975,                0.08257,                 2.1264,                 3.0313,                 2.3898,              0.0099485,              0.0099485,              0.0099485
                     55,                 1.4434,                 1.7131,                 1.7742,                0.31125,                0.23009,                0.18358,                 0.0736,                 2.1717,                  2.879,                 2.4242,              0.0099475,              0.0099475,              0.0099475
                     56,                 1.4114,                 1.7071,                 1.7503,                0.18417,                0.29646,                0.12031,                0.04382,                 2.1555,                 3.0022,                 2.4178,              0.0099465,              0.0099465,              0.0099465
                     57,                 1.4185,                 1.7237,                 1.7607,                0.32794,                0.28319,                0.21199,                0.09451,                 2.1391,                 2.8232,                 2.3345,              0.0099456,              0.0099456,              0.0099456
                     58,                 1.3698,                 1.6604,                 1.7301,                0.27051,                0.28319,                0.21836,                0.09304,                 2.1715,                 2.8009,                 2.4138,              0.0099446,              0.0099446,              0.0099446
                     59,                  1.397,                 1.6883,                 1.7279,                0.28923,                0.26549,                0.19997,                0.08018,                 2.1832,                 2.8129,                 2.4392,              0.0099436,              0.0099436,              0.0099436
                     60,                 1.3775,                 1.6373,                 1.7285,                0.23243,                0.25221,                  0.149,                0.06533,                 2.3295,                  3.046,                 2.5872,              0.0099426,              0.0099426,              0.0099426
                     61,                  1.426,                 1.7096,                 1.7596,                0.29939,                0.30531,                0.21052,                0.08383,                 2.1612,                 2.7117,                 2.4868,              0.0099416,              0.0099416,              0.0099416
                     62,                 1.4081,                 1.6941,                 1.7591,                0.39624,                0.22124,                0.18733,                0.09143,                 2.1158,                 3.1088,                 2.3584,              0.0099406,              0.0099406,              0.0099406
                     63,                 1.3819,                 1.6619,                  1.734,                 0.2964,                0.22124,                0.14312,                0.06022,                 2.2307,                 3.0906,                 2.4324,              0.0099396,              0.0099396,              0.0099396
                     64,                 1.4134,                 1.7275,                 1.7581,                0.27924,                0.26991,                0.19008,                0.08901,                  2.014,                 2.8156,                 2.3314,              0.0099386,              0.0099386,              0.0099386
                     65,                 1.3684,                 1.6727,                 1.7261,                 0.3371,                0.26106,                0.23096,                0.11179,                 2.1259,                 2.8583,                 2.3719,              0.0099376,              0.0099376,              0.0099376
                     66,                 1.3691,                 1.6697,                  1.722,                0.25818,                0.26106,                0.17989,                0.08838,                 2.3118,                 3.2416,                 2.4688,              0.0099366,              0.0099366,              0.0099366
                     67,                 1.3489,                 1.6356,                 1.7157,                0.25032,                0.23492,                0.22185,                0.10064,                 2.1611,                 2.7894,                 2.3983,              0.0099357,              0.0099357,              0.0099357
                     68,                 1.3509,                 1.6359,                 1.7122,                0.33026,                0.25965,                0.22131,                0.10142,                 2.0405,                 2.7196,                 2.3249,              0.0099347,              0.0099347,              0.0099347
                     69,                 1.3748,                 1.6018,                 1.7163,                0.25946,                0.33628,                0.16894,                0.06685,                 2.1071,                  2.843,                 2.3866,              0.0099337,              0.0099337,              0.0099337
                     70,                 1.3567,                 1.6546,                 1.7137,                0.29737,                0.33628,                0.24079,                0.09826,                 2.1987,                 2.6754,                 2.4232,              0.0099327,              0.0099327,              0.0099327
                     71,                 1.3878,                 1.6383,                 1.7431,                0.27679,                0.27434,                0.20416,                0.09335,                 2.1309,                 2.8737,                 2.3705,              0.0099317,              0.0099317,              0.0099317
                     72,                  1.375,                 1.6517,                  1.715,                0.27666,                0.26106,                0.20998,                0.10437,                 2.1344,                  2.856,                 2.4113,              0.0099307,              0.0099307,              0.0099307
                     73,                 1.3588,                 1.6569,                 1.7132,                0.30463,                0.22566,                0.21072,                0.10002,                 2.0875,                 2.8113,                 2.3056,              0.0099297,              0.0099297,              0.0099297
                     74,                 1.3465,                 1.6231,                 1.7171,                0.32833,                0.24779,                0.20283,                0.08334,                 2.1281,                 2.7846,                 2.3721,              0.0099287,              0.0099287,              0.0099287
                     75,                 1.3681,                 1.6246,                 1.7091,                0.38391,                0.27434,                0.25138,                 0.1089,                 2.1075,                 2.6692,                 2.2956,              0.0099277,              0.0099277,              0.0099277
                     76,                 1.3478,                 1.5979,                 1.6786,                0.26806,                0.34071,                0.19977,                 0.0874,                 2.0099,                 2.7508,                 2.3105,              0.0099267,              0.0099267,              0.0099267
                     77,                 1.3627,                 1.6166,                  1.712,                0.39957,                0.31416,                0.28232,                0.13943,                 2.1323,                  2.677,                 2.3838,              0.0099258,              0.0099258,              0.0099258
                     78,                 1.3681,                 1.6457,                 1.7202,                0.28405,                0.28319,                0.22814,                0.09573,                  2.143,                 2.6228,                  2.384,              0.0099248,              0.0099248,              0.0099248
                     79,                 1.3411,                 1.6071,                 1.6932,                0.36945,                0.21681,                 0.2131,                0.09777,                 2.1763,                 2.9685,                 2.4119,              0.0099238,              0.0099238,              0.0099238
                     80,                 1.3733,                  1.626,                 1.7197,                0.36719,                0.25664,                0.23976,                0.11624,                 2.1407,                 2.7597,                 2.3721,              0.0099228,              0.0099228,              0.0099228
                     81,                 1.3222,                 1.5395,                 1.6858,                0.26274,                0.31416,                0.23596,                0.10955,                 2.1867,                 2.7219,                 2.4147,              0.0099218,              0.0099218,              0.0099218
                     82,                 1.3374,                 1.5677,                   1.69,                0.23653,                0.30088,                0.19064,                0.08878,                 2.1551,                 2.7587,                  2.374,              0.0099208,              0.0099208,              0.0099208
                     83,                 1.3178,                 1.5332,                 1.6692,                0.24211,                 0.3039,                0.16404,                0.07127,                 2.1201,                 2.9339,                 2.4104,              0.0099198,              0.0099198,              0.0099198
                     84,                 1.3105,                 1.5464,                 1.6623,                0.26003,                0.38938,                0.25212,                0.11378,                 2.1725,                 2.5681,                 2.4877,              0.0099188,              0.0099188,              0.0099188
                     85,                 1.3307,                 1.5467,                   1.67,                0.24486,                0.25221,                0.20282,                0.09245,                 2.2464,                 3.0325,                  2.439,              0.0099178,              0.0099178,              0.0099178
                     86,                 1.3081,                 1.5375,                 1.6636,                0.32277,                0.28761,                0.24144,                0.11466,                 2.0935,                 2.7683,                 2.3433,              0.0099168,              0.0099168,              0.0099168
                     87,                  1.327,                 1.5545,                 1.6793,                0.34329,                0.24336,                 0.2363,                0.10461,                 2.0836,                 2.7797,                 2.3064,              0.0099159,              0.0099159,              0.0099159
                     88,                 1.3242,                 1.5135,                 1.6777,                0.28473,                0.25221,                 0.1949,                0.08958,                 2.2023,                 2.7314,                 2.4309,              0.0099149,              0.0099149,              0.0099149
